"","byhour","Freq"
"1","1491004800",51
"2","1491008400",49
"3","1491012000",20
"4","1491015600",13
"5","1491019200",11
"6","1491022800",14
"7","1491026400",30
"8","1491030000",98
"9","1491033600",204
"10","1491037200",291
"11","1491040800",457
"12","1491044400",615
"13","1491048000",759
"14","1491051600",786
"15","1491055200",806
"16","1491058800",777
"17","1491062400",753
"18","1491066000",581
"19","1491069600",427
"20","1491073200",256
"21","1491076800",157
"22","1491080400",123
"23","1491084000",121
"24","1491087600",66
"25","1491091200",57
"26","1491094800",44
"27","1491098400",30
"28","1491102000",14
"29","1491105600",12
"30","1491109200",27
"31","1491112800",36
"32","1491116400",130
"33","1491120000",132
"34","1491123600",256
"35","1491127200",442
"36","1491130800",552
"37","1491134400",631
"38","1491138000",582
"39","1491141600",604
"40","1491145200",557
"41","1491148800",442
"42","1491152400",383
"43","1491156000",282
"44","1491159600",183
"45","1491163200",113
"46","1491166800",95
"47","1491170400",62
"48","1491174000",41
"49","1491177600",17
"50","1491181200",11
"51","1491184800",8
"52","1491188400",6
"53","1491192000",6
"54","1491195600",66
"55","1491199200",301
"56","1491202800",647
"57","1491206400",867
"58","1491210000",358
"59","1491213600",236
"60","1491217200",260
"61","1491220800",261
"62","1491224400",107
"63","1491228000",95
"64","1491231600",165
"65","1491235200",297
"66","1491238800",344
"67","1491242400",244
"68","1491246000",220
"69","1491249600",177
"70","1491253200",121
"71","1491256800",78
"72","1491260400",41
"73","1491264000",20
"74","1491267600",10
"75","1491271200",6
"76","1491274800",6
"77","1491278400",9
"78","1491282000",98
"79","1491285600",287
"80","1491289200",635
"81","1491292800",746
"82","1491296400",242
"83","1491300000",157
"84","1491303600",234
"85","1491307200",258
"86","1491310800",248
"87","1491314400",298
"88","1491318000",404
"89","1491321600",816
"90","1491325200",1203
"91","1491328800",709
"92","1491332400",459
"93","1491336000",268
"94","1491339600",175
"95","1491343200",109
"96","1491346800",65
"97","1491350400",31
"98","1491354000",18
"99","1491357600",7
"100","1491361200",7
"101","1491364800",5
"102","1491368400",46
"103","1491372000",93
"104","1491375600",125
"105","1491379200",136
"106","1491382800",78
"107","1491386400",45
"108","1491390000",80
"109","1491393600",113
"110","1491397200",128
"111","1491400800",115
"112","1491404400",113
"113","1491408000",195
"114","1491411600",184
"115","1491415200",112
"116","1491418800",84
"117","1491422400",54
"118","1491426000",41
"119","1491429600",26
"120","1491433200",9
"121","1491436800",3
"122","1491440400",4
"123","1491444000",3
"124","1491447600",2
"125","1491451200",4
"126","1491454800",29
"127","1491458400",165
"128","1491462000",444
"129","1491465600",732
"130","1491469200",302
"131","1491472800",167
"132","1491476400",203
"133","1491480000",256
"134","1491483600",240
"135","1491487200",252
"136","1491490800",359
"137","1491494400",693
"138","1491498000",1022
"139","1491501600",596
"140","1491505200",337
"141","1491508800",197
"142","1491512400",146
"143","1491516000",97
"144","1491519600",69
"145","1491523200",28
"146","1491526800",17
"147","1491530400",7
"148","1491534000",6
"149","1491537600",12
"150","1491541200",60
"151","1491544800",247
"152","1491548400",592
"153","1491552000",816
