"","byminute","Freq"
"1","1491004860",1
"2","1491004980",1
"3","1491005040",1
"4","1491005160",3
"5","1491005340",1
"6","1491005400",3
"7","1491005580",1
"8","1491005640",3
"9","1491005700",1
"10","1491005820",1
"11","1491005880",1
"12","1491005940",1
"13","1491006060",2
"14","1491006120",1
"15","1491006180",3
"16","1491006240",1
"17","1491006300",1
"18","1491006360",1
"19","1491006540",1
"20","1491006600",2
"21","1491006660",2
"22","1491006720",2
"23","1491006780",3
"24","1491006960",3
"25","1491007080",1
"26","1491007140",1
"27","1491007440",1
"28","1491007500",2
"29","1491007560",1
"30","1491007620",1
"31","1491007740",1
"32","1491007920",1
"33","1491007980",1
"34","1491008340",1
"35","1491008400",2
"36","1491008520",1
"37","1491008580",2
"38","1491008820",1
"39","1491008880",2
"40","1491009060",1
"41","1491009120",2
"42","1491009180",1
"43","1491009240",1
"44","1491009300",1
"45","1491009420",2
"46","1491009480",4
"47","1491009540",3
"48","1491009660",1
"49","1491009840",2
"50","1491009960",1
"51","1491010140",2
"52","1491010200",1
"53","1491010320",1
"54","1491010560",2
"55","1491010620",1
"56","1491010860",2
"57","1491011040",1
"58","1491011340",1
"59","1491011400",2
"60","1491011520",2
"61","1491011640",1
"62","1491011700",3
"63","1491011760",1
"64","1491011880",1
"65","1491011940",1
"66","1491012060",2
"67","1491012240",1
"68","1491012480",1
"69","1491012720",1
"70","1491012780",1
"71","1491013140",2
"72","1491013200",3
"73","1491013440",1
"74","1491013680",1
"75","1491014100",1
"76","1491014220",1
"77","1491014340",1
"78","1491014400",1
"79","1491014700",1
"80","1491015180",1
"81","1491015540",1
"82","1491016020",1
"83","1491017100",2
"84","1491017220",1
"85","1491017760",1
"86","1491018360",1
"87","1491018420",1
"88","1491018480",1
"89","1491018660",1
"90","1491018720",2
"91","1491019020",2
"92","1491019320",1
"93","1491019980",1
"94","1491020040",1
"95","1491020340",1
"96","1491020400",2
"97","1491020580",1
"98","1491020940",1
"99","1491021360",1
"100","1491021840",1
"101","1491022320",1
"102","1491022920",1
"103","1491024360",1
"104","1491024420",1
"105","1491024780",1
"106","1491025020",1
"107","1491025140",2
"108","1491025200",1
"109","1491025320",2
"110","1491025440",2
"111","1491025680",1
"112","1491025800",1
"113","1491026520",1
"114","1491026640",1
"115","1491026880",1
"116","1491027000",3
"117","1491027120",1
"118","1491027300",2
"119","1491027360",1
"120","1491027660",1
"121","1491027900",1
"122","1491027960",1
"123","1491028080",1
"124","1491028320",1
"125","1491028440",1
"126","1491028500",1
"127","1491028620",1
"128","1491028860",1
"129","1491029100",1
"130","1491029280",1
"131","1491029400",1
"132","1491029460",3
"133","1491029640",2
"134","1491029700",1
"135","1491029820",1
"136","1491029940",1
"137","1491030000",2
"138","1491030060",3
"139","1491030120",1
"140","1491030240",1
"141","1491030300",1
"142","1491030360",1
"143","1491030540",1
"144","1491030660",1
"145","1491030720",1
"146","1491030780",2
"147","1491030840",3
"148","1491031140",2
"149","1491031200",1
"150","1491031380",2
"151","1491031440",1
"152","1491031500",4
"153","1491031560",2
"154","1491031620",1
"155","1491031800",1
"156","1491031860",1
"157","1491031980",1
"158","1491032040",3
"159","1491032160",2
"160","1491032220",5
"161","1491032280",1
"162","1491032340",3
"163","1491032400",6
"164","1491032460",2
"165","1491032520",1
"166","1491032580",3
"167","1491032640",5
"168","1491032700",4
"169","1491032760",1
"170","1491032820",1
"171","1491032880",3
"172","1491032940",2
"173","1491033000",5
"174","1491033060",3
"175","1491033180",3
"176","1491033240",3
"177","1491033300",1
"178","1491033360",7
"179","1491033540",1
"180","1491033660",2
"181","1491033780",2
"182","1491033840",6
"183","1491033900",2
"184","1491033960",4
"185","1491034020",7
"186","1491034080",1
"187","1491034140",1
"188","1491034200",4
"189","1491034260",1
"190","1491034320",3
"191","1491034380",3
"192","1491034440",5
"193","1491034500",5
"194","1491034560",3
"195","1491034620",2
"196","1491034680",3
"197","1491034740",3
"198","1491034800",1
"199","1491034860",3
"200","1491034920",3
"201","1491034980",4
"202","1491035040",2
"203","1491035100",3
"204","1491035160",1
"205","1491035220",2
"206","1491035280",4
"207","1491035400",4
"208","1491035460",4
"209","1491035520",3
"210","1491035580",1
"211","1491035640",1
"212","1491035700",4
"213","1491035760",5
"214","1491035820",3
"215","1491035880",5
"216","1491035940",2
"217","1491036000",4
"218","1491036060",5
"219","1491036120",5
"220","1491036180",3
"221","1491036240",4
"222","1491036300",7
"223","1491036360",3
"224","1491036420",5
"225","1491036480",6
"226","1491036540",6
"227","1491036600",3
"228","1491036660",6
"229","1491036720",8
"230","1491036780",2
"231","1491036840",4
"232","1491036900",4
"233","1491036960",5
"234","1491037020",4
"235","1491037080",3
"236","1491037140",5
"237","1491037200",6
"238","1491037260",4
"239","1491037320",3
"240","1491037380",7
"241","1491037440",3
"242","1491037500",4
"243","1491037560",2
"244","1491037620",5
"245","1491037680",9
"246","1491037740",4
"247","1491037800",1
"248","1491037860",2
"249","1491037920",3
"250","1491037980",4
"251","1491038040",3
"252","1491038100",3
"253","1491038160",5
"254","1491038220",1
"255","1491038280",2
"256","1491038340",9
"257","1491038400",7
"258","1491038460",2
"259","1491038520",5
"260","1491038580",2
"261","1491038640",4
"262","1491038700",2
"263","1491038760",5
"264","1491038820",7
"265","1491038880",3
"266","1491038940",4
"267","1491039000",2
"268","1491039060",7
"269","1491039120",4
"270","1491039180",3
"271","1491039240",2
"272","1491039300",3
"273","1491039360",5
"274","1491039420",5
"275","1491039480",6
"276","1491039540",3
"277","1491039600",4
"278","1491039660",2
"279","1491039720",6
"280","1491039780",6
"281","1491039840",7
"282","1491039900",3
"283","1491039960",6
"284","1491040020",5
"285","1491040080",3
"286","1491040140",5
"287","1491040200",9
"288","1491040260",8
"289","1491040320",10
"290","1491040380",8
"291","1491040440",8
"292","1491040500",7
"293","1491040560",11
"294","1491040620",6
"295","1491040680",8
"296","1491040740",8
"297","1491040800",8
"298","1491040860",5
"299","1491040920",12
"300","1491040980",6
"301","1491041040",4
"302","1491041100",10
"303","1491041160",11
"304","1491041220",6
"305","1491041280",7
"306","1491041340",9
"307","1491041400",4
"308","1491041460",7
"309","1491041520",6
"310","1491041580",8
"311","1491041640",7
"312","1491041700",4
"313","1491041760",9
"314","1491041820",7
"315","1491041880",9
"316","1491041940",7
"317","1491042000",8
"318","1491042060",8
"319","1491042120",7
"320","1491042180",10
"321","1491042240",3
"322","1491042300",4
"323","1491042360",5
"324","1491042420",6
"325","1491042480",9
"326","1491042540",3
"327","1491042600",7
"328","1491042660",9
