"","duration_cus","Freq"
"1","60",30
"2","61",20
"3","62",35
"4","63",22
"5","64",21
"6","65",17
"7","66",24
"8","67",12
"9","68",23
"10","69",27
"11","70",22
"12","71",19
"13","72",22
"14","73",21
"15","74",26
"16","75",20
"17","76",21
"18","77",30
"19","78",21
"20","79",22
"21","80",29
"22","81",19
"23","82",20
"24","83",16
"25","84",19
"26","85",18
"27","86",20
"28","87",23
"29","88",19
"30","89",24
"31","90",27
"32","91",23
"33","92",15
"34","93",20
"35","94",24
"36","95",22
"37","96",20
"38","97",14
"39","98",17
"40","99",17
"41","100",17
"42","101",19
"43","102",15
"44","103",13
"45","104",17
"46","105",20
"47","106",16
"48","107",29
"49","108",21
"50","109",15
"51","110",12
"52","111",15
"53","112",13
"54","113",13
"55","114",16
"56","115",22
"57","116",25
"58","117",16
"59","118",20
"60","119",15
"61","120",21
"62","121",14
"63","122",21
"64","123",17
"65","124",22
"66","125",20
"67","126",16
"68","127",16
"69","128",23
"70","129",24
"71","130",16
"72","131",13
"73","132",22
"74","133",20
"75","134",22
"76","135",14
"77","136",11
"78","137",20
"79","138",18
"80","139",17
"81","140",20
"82","141",17
"83","142",28
"84","143",19
"85","144",10
"86","145",18
"87","146",13
"88","147",17
"89","148",16
"90","149",23
"91","150",30
"92","151",19
"93","152",19
"94","153",33
"95","154",18
"96","155",23
"97","156",14
"98","157",14
"99","158",16
"100","159",12
"101","160",23
"102","161",21
"103","162",16
"104","163",11
"105","164",19
"106","165",26
"107","166",18
"108","167",24
"109","168",21
"110","169",22
"111","170",32
"112","171",17
"113","172",29
"114","173",26
"115","174",26
"116","175",35
"117","176",32
"118","177",22
"119","178",33
"120","179",31
"121","180",23
"122","181",27
"123","182",21
"124","183",23
"125","184",23
"126","185",22
"127","186",27
"128","187",17
"129","188",22
"130","189",23
"131","190",27
"132","191",25
"133","192",23
"134","193",33
"135","194",17
"136","195",16
"137","196",28
"138","197",21
"139","198",32
"140","199",21
"141","200",26
"142","201",32
"143","202",33
"144","203",28
"145","204",24
"146","205",26
"147","206",24
"148","207",26
"149","208",20
"150","209",33
"151","210",31
"152","211",26
"153","212",30
"154","213",31
"155","214",22
"156","215",28
"157","216",19
"158","217",32
"159","218",21
"160","219",30
"161","220",20
"162","221",36
"163","222",22
"164","223",28
"165","224",35
"166","225",39
"167","226",24
"168","227",36
"169","228",26
"170","229",29
"171","230",31
"172","231",26
"173","232",28
"174","233",30
"175","234",27
"176","235",25
"177","236",30
"178","237",23
"179","238",26
"180","239",34
"181","240",33
"182","241",28
"183","242",30
"184","243",29
"185","244",33
"186","245",37
"187","246",37
"188","247",41
"189","248",28
"190","249",29
"191","250",40
"192","251",28
"193","252",27
"194","253",29
"195","254",44
"196","255",23
"197","256",40
"198","257",30
"199","258",33
"200","259",38
"201","260",37
"202","261",30
"203","262",43
"204","263",41
"205","264",36
"206","265",33
"207","266",41
"208","267",37
"209","268",26
"210","269",44
"211","270",25
"212","271",40
"213","272",30
"214","273",41
"215","274",34
"216","275",42
"217","276",38
"218","277",35
"219","278",33
"220","279",52
"221","280",42
"222","281",38
"223","282",47
"224","283",46
"225","284",39
"226","285",44
"227","286",40
"228","287",36
"229","288",42
"230","289",47
"231","290",47
"232","291",50
"233","292",55
"234","293",41
"235","294",34
"236","295",39
"237","296",50
"238","297",35
"239","298",39
"240","299",46
"241","300",44
"242","301",55
"243","302",48
"244","303",46
"245","304",48
"246","305",40
"247","306",52
"248","307",47
"249","308",36
"250","309",55
"251","310",39
"252","311",31
"253","312",53
"254","313",55
"255","314",55
"256","315",48
"257","316",37
"258","317",51
"259","318",50
"260","319",45
"261","320",44
"262","321",48
"263","322",40
"264","323",38
"265","324",44
"266","325",66
"267","326",40
"268","327",61
"269","328",39
"270","329",41
"271","330",51
"272","331",58
"273","332",39
"274","333",52
"275","334",56
"276","335",65
"277","336",58
"278","337",44
"279","338",51
"280","339",39
"281","340",55
"282","341",55
"283","342",38
"284","343",36
"285","344",58
"286","345",56
"287","346",61
"288","347",52
"289","348",50
"290","349",44
"291","350",55
"292","351",58
"293","352",47
"294","353",51
"295","354",52
"296","355",55
"297","356",58
"298","357",53
"299","358",65
"300","359",71
"301","360",67
"302","361",52
"303","362",43
"304","363",50
"305","364",57
"306","365",66
"307","366",57
"308","367",49
"309","368",43
"310","369",58
"311","370",59
"312","371",66
"313","372",63
"314","373",50
"315","374",58
"316","375",54
"317","376",54
"318","377",45
"319","378",46
"320","379",46
"321","380",61
"322","381",60
"323","382",53
"324","383",53
"325","384",49
"326","385",57
"327","386",59
"328","387",54
"329","388",61
"330","389",69
"331","390",53
"332","391",64
"333","392",50
"334","393",60
"335","394",50
"336","395",73
"337","396",54
"338","397",56
"339","398",52
"340","399",48
"341","400",61
"342","401",61
"343","402",53
"344","403",59
"345","404",63
"346","405",48
"347","406",54
"348","407",65
"349","408",55
"350","409",69
"351","410",71
"352","411",51
"353","412",56
"354","413",57
"355","414",67
"356","415",62
"357","416",61
"358","417",81
"359","418",60
"360","419",74
"361","420",64
"362","421",56
"363","422",51
"364","423",57
"365","424",63
"366","425",64
"367","426",66
"368","427",60
"369","428",59
"370","429",60
"371","430",61
"372","431",83
"373","432",73
"374","433",67
"375","434",54
"376","435",67
"377","436",62
"378","437",76
"379","438",57
"380","439",62
"381","440",73
"382","441",64
"383","442",73
"384","443",59
"385","444",65
"386","445",89
"387","446",67
"388","447",53
"389","448",73
"390","449",87
"391","450",75
"392","451",80
"393","452",97
"394","453",71
"395","454",89
"396","455",67
"397","456",77
"398","457",67
"399","458",71
"400","459",71
"401","460",73
"402","461",77
"403","462",82
"404","463",77
"405","464",80
"406","465",78
"407","466",77
"408","467",67
"409","468",81
"410","469",74
"411","470",67
"412","471",79
"413","472",69
"414","473",76
"415","474",82
"416","475",92
