"","duration_sub","Freq"
"1","60",78
"2","61",81
"3","62",86
"4","63",77
"5","64",72
"6","65",76
"7","66",69
"8","67",69
"9","68",80
"10","69",62
"11","70",65
"12","71",64
"13","72",68
"14","73",76
"15","74",64
"16","75",79
"17","76",63
"18","77",61
"19","78",55
"20","79",66
"21","80",62
"22","81",66
"23","82",76
"24","83",82
"25","84",83
"26","85",86
"27","86",72
"28","87",81
"29","88",89
"30","89",88
"31","90",102
"32","91",115
"33","92",107
"34","93",116
"35","94",105
"36","95",122
"37","96",121
"38","97",137
"39","98",118
"40","99",139
"41","100",135
"42","101",126
"43","102",144
"44","103",154
"45","104",167
"46","105",144
"47","106",178
"48","107",177
"49","108",192
"50","109",182
"51","110",203
"52","111",206
"53","112",190
"54","113",208
"55","114",232
"56","115",193
"57","116",221
"58","117",214
"59","118",234
"60","119",247
"61","120",245
"62","121",251
"63","122",235
"64","123",291
"65","124",269
"66","125",301
"67","126",258
"68","127",290
"69","128",315
"70","129",285
"71","130",280
"72","131",316
"73","132",302
"74","133",331
"75","134",324
"76","135",358
"77","136",335
"78","137",329
"79","138",349
"80","139",332
"81","140",365
"82","141",414
"83","142",399
"84","143",413
"85","144",382
"86","145",461
"87","146",424
"88","147",405
"89","148",436
"90","149",446
"91","150",455
"92","151",483
"93","152",457
"94","153",479
"95","154",452
"96","155",476
"97","156",490
"98","157",484
"99","158",497
"100","159",487
"101","160",467
"102","161",512
"103","162",555
"104","163",511
"105","164",542
"106","165",559
"107","166",534
"108","167",519
"109","168",573
"110","169",563
"111","170",612
"112","171",592
"113","172",628
"114","173",587
"115","174",609
"116","175",561
"117","176",601
"118","177",633
"119","178",618
"120","179",617
"121","180",634
"122","181",633
"123","182",682
"124","183",673
"125","184",702
"126","185",656
"127","186",633
"128","187",643
"129","188",712
"130","189",697
"131","190",665
"132","191",659
"133","192",698
"134","193",712
"135","194",747
"136","195",704
"137","196",729
"138","197",733
"139","198",732
"140","199",753
"141","200",737
"142","201",784
"143","202",786
"144","203",762
"145","204",796
"146","205",767
"147","206",747
"148","207",770
"149","208",784
"150","209",753
"151","210",827
"152","211",807
"153","212",832
"154","213",803
"155","214",842
"156","215",858
"157","216",821
"158","217",815
"159","218",850
"160","219",807
"161","220",799
"162","221",836
"163","222",819
"164","223",883
"165","224",841
"166","225",835
"167","226",844
"168","227",901
"169","228",887
"170","229",886
"171","230",852
"172","231",861
"173","232",831
"174","233",856
"175","234",903
"176","235",862
"177","236",854
"178","237",903
"179","238",867
"180","239",894
"181","240",837
"182","241",925
"183","242",937
"184","243",912
"185","244",916
"186","245",921
"187","246",925
"188","247",930
"189","248",898
"190","249",939
"191","250",935
"192","251",954
"193","252",936
"194","253",970
"195","254",946
"196","255",936
"197","256",940
"198","257",943
"199","258",972
"200","259",952
"201","260",917
"202","261",975
"203","262",994
"204","263",902
"205","264",946
"206","265",1011
"207","266",1004
"208","267",943
"209","268",977
"210","269",966
"211","270",993
"212","271",950
"213","272",915
"214","273",961
"215","274",971
"216","275",975
"217","276",1005
"218","277",968
"219","278",956
"220","279",949
"221","280",954
"222","281",1019
"223","282",984
"224","283",993
"225","284",1007
"226","285",986
"227","286",1041
"228","287",950
"229","288",997
"230","289",1023
"231","290",963
"232","291",984
"233","292",1046
"234","293",968
"235","294",969
"236","295",950
"237","296",964
"238","297",1038
"239","298",999
"240","299",1034
"241","300",984
"242","301",985
"243","302",976
"244","303",901
"245","304",977
"246","305",983
"247","306",995
"248","307",980
"249","308",1007
"250","309",1026
"251","310",990
"252","311",975
"253","312",927
"254","313",1027
"255","314",1001
"256","315",1007
"257","316",1025
"258","317",1001
"259","318",1059
"260","319",1008
"261","320",981
"262","321",966
"263","322",982
"264","323",1054
"265","324",1003
"266","325",1023
"267","326",1025
"268","327",1018
"269","328",993
"270","329",1013
"271","330",1042
"272","331",1031
"273","332",1097
"274","333",1010
"275","334",988
"276","335",982
"277","336",968
"278","337",972
"279","338",1050
"280","339",1025
"281","340",971
"282","341",1041
"283","342",1032
"284","343",991
"285","344",1039
"286","345",1029
"287","346",1036
"288","347",1031
"289","348",1043
"290","349",1036
"291","350",1046
"292","351",998
"293","352",998
"294","353",1050
"295","354",1046
"296","355",1026
"297","356",1006
"298","357",991
"299","358",972
"300","359",1033
"301","360",1026
"302","361",1051
"303","362",1093
"304","363",1026
"305","364",1094
"306","365",976
"307","366",1044
"308","367",1070
"309","368",936
"310","369",992
"311","370",1014
"312","371",1024
"313","372",1039
"314","373",996
"315","374",941
"316","375",977
"317","376",952
"318","377",1031
"319","378",974
"320","379",973
"321","380",1020
"322","381",957
"323","382",1060
"324","383",964
