id,name,city,latitude,longitude,dpcapacity,online_date,totaltrips
2,Buckingham Fountain,Chicago,41.88106,-87.619486,27,6/10/2013 10:43:46,9849
3,Shedd Aquarium,Chicago,41.86722595682,-87.6153553902,31,6/10/2013 10:44:48,19663
4,Burnham Harbor,Chicago,41.856268,-87.613348,23,6/10/2013 10:46:02,16508
5,State St & Harrison St,Chicago,41.874053,-87.627716,23,6/10/2013 10:46:54,4812
6,Dusable Harbor,Chicago,41.88504199232,-87.6127945394,39,6/10/2013 11:18:52,14902
7,Field Blvd & South Water St,Chicago,41.88634906269,-87.6175165471,19,6/19/2013 10:00:21,6182
9,Leavitt St & Archer Ave,Chicago,41.82879201994,-87.6806044594,19,6/21/2013 09:33:32,466
11,Jeffery Blvd & 71st St,Chicago,41.76663823695,-87.5764501141,11,6/21/2013 09:39:15,161
12,South Shore Dr & 71st St,Chicago,41.7664094567,-87.5656875719,15,6/21/2013 10:00:22,548
13,Wilton Ave & Diversey Pkwy,Chicago,41.932418,-87.652705,27,6/22/2013 18:29:48,7257
14,Morgan St & 18th St,Chicago,41.858086,-87.651073,15,6/22/2013 18:33:34,2182
15,Racine Ave & 18th St,Chicago,41.858166,-87.656495,15,6/22/2013 18:35:45,2604
16,Paulina Ave & North Ave,Chicago,41.910337,-87.670072,15,6/22/2013 18:55:29,4433
17,Wood St & Division St,Chicago,41.90332,-87.67273,15,6/22/2013 18:58:29,4201
18,Wacker Dr & Washington St,Chicago,41.88327159253,-87.6373132869,19,6/22/2013 19:00:47,9689
19,Loomis St & Taylor St (*),Chicago,41.869417,-87.660996,16,6/22/2013 19:03:02,4357
20,Sheffield Ave & Kingsbury St,Chicago,41.910522,-87.653106,15,6/22/2013 19:04:58,5746
21,Aberdeen St & Jackson Blvd,Chicago,41.87772613,-87.65478743,15,6/22/2013 19:07:12,4851
22,May St & Taylor St,Chicago,41.8694821,-87.6554864,15,6/22/2013 19:09:14,4324
23,Orleans St & Elm St (*),Chicago,41.902924,-87.637715,16,6/22/2013 20:20:34,2319
24,Fairbanks Ct & Grand Ave,Chicago,41.89186,-87.62062,15,6/22/2013 20:23:31,12248
25,Michigan Ave & Pearson St,Chicago,41.89766,-87.62351,23,6/22/2013 20:26:32,7419
26,McClurg Ct & Illinois St,Chicago,41.89102,-87.6173,31,6/22/2013 20:28:13,16661
27,Larrabee St & North Ave,Chicago,41.91021,-87.6435,19,6/22/2013 20:31:48,2686
28,Larrabee St & Menomonee St,Chicago,41.91468,-87.64332,15,6/22/2013 20:38:05,3573
29,Noble St & Milwaukee Ave,Chicago,41.90068,-87.6626,15,6/22/2013 20:52:28,4683
30,Ashland Ave & Augusta Blvd,Chicago,41.899643,-87.6677,15,6/22/2013 20:54:40,3397
31,Franklin St & Chicago Ave,Chicago,41.896776,-87.635633,23,6/22/2013 20:58:44,7882
32,Racine Ave & Congress Pkwy,Chicago,41.87464,-87.65703,19,6/22/2013 21:00:28,3148
33,State St & Van Buren St,Chicago,41.877181,-87.627844,27,6/22/2013 21:06:44,8252
34,Cannon Dr & Fullerton Ave,Chicago,41.9267559875,-87.6344287848,15,6/22/2013 21:09:55,6247
35,Streeter Dr & Grand Ave,Chicago,41.892278,-87.612043,47,6/22/2013 21:12:15,65574
36,Franklin St & Jackson Blvd,Chicago,41.8777079559,-87.6353211408,31,6/24/2013 23:34:38,12687
37,Dearborn St & Adams St,Chicago,41.8793563587,-87.6297910363,19,6/25/2013 01:12:23,8455
38,Clark St & Lake St,Chicago,41.88602082773,-87.6308760584,27,6/25/2013 01:43:12,8998
39,Wabash Ave & Adams St,Chicago,41.87947235235,-87.6256886059,23,6/25/2013 01:44:07,6769
40,LaSalle St & Adams St,Chicago,41.87934437346,-87.6319852213,15,6/25/2013 01:44:12,8202
41,Federal St & Polk St,Chicago,41.87207763285,-87.6295437729,19,6/25/2013 01:44:18,7438
42,Wabash Ave & Cermak Rd,Chicago,41.852619,-87.626488,11,6/25/2013 07:38:55,1757
43,Michigan Ave & Washington St,Chicago,41.8838927658,-87.6246491409,43,6/25/2013 10:57:46,21295
44,State St & Randolph St,Chicago,41.8847302006,-87.6277335692,27,6/25/2013 10:59:05,9924
45,Michigan Ave & Congress Pkwy,Chicago,41.876243,-87.624426,15,6/25/2013 11:01:27,5909
46,Wells St & Walton St,Chicago,41.89993001,-87.63443007,19,6/25/2013 11:03:15,3982
47,State St & Kinzie St,Chicago,41.889187,-87.627754,31,6/25/2013 11:04:38,11654
48,Larrabee St & Kingsbury St,Chicago,41.897764,-87.642884,39,6/25/2013 11:20:37,11812
49,Dearborn St & Monroe St,Chicago,41.881319815,-87.6295209193,27,6/25/2013 11:21:41,11204
50,Clark St & Congress Pkwy,Chicago,41.8759326655,-87.6305845355,27,6/25/2013 11:23:39,6549
51,Clark St & Randolph St,Chicago,41.884576228,-87.63188991,31,6/25/2013 11:24:53,8872
52,Michigan Ave & Lake St,Chicago,41.886024,-87.624117,31,6/25/2013 11:25:55,13622
