"","birthyear","Freq"
"1","1899",34
"2","1900",74
"3","1901",39
"4","1906",26
"5","1909",9
"6","1916",14
"7","1918",197
"8","1921",121
"9","1923",2
"10","1930",10
"11","1934",80
"12","1936",1
"13","1938",13
"14","1939",133
"15","1940",119
"16","1941",53
"17","1942",74
"18","1943",39
"19","1944",167
"20","1945",498
"21","1946",813
"22","1947",224
"23","1948",476
"24","1949",1252
"25","1950",1238
"26","1951",1772
"27","1952",2767
"28","1953",2247
"29","1954",2729
"30","1955",2892
"31","1956",3580
"32","1957",3570
"33","1958",3953
"34","1959",4065
"35","1960",7039
"36","1961",6103
"37","1962",7440
"38","1963",6646
"39","1964",6619
"40","1965",6466
"41","1966",8126
"42","1967",6866
"43","1968",7552
"44","1969",9705
"45","1970",10088
"46","1971",8158
"47","1972",8832
"48","1973",8576
"49","1974",10127
"50","1975",10796
"51","1976",11509
"52","1977",12908
"53","1978",12879
"54","1979",14364
"55","1980",18195
"56","1981",19408
"57","1982",21547
"58","1983",23803
"59","1984",27711
"60","1985",26845
"61","1986",29781
"62","1987",32256
"63","1988",32648
"64","1989",38300
"65","1990",32342
"66","1991",31919
"67","1992",28546
"68","1993",23681
"69","1994",13616
"70","1995",4148
"71","1996",2827
"72","1997",3613
"73","1998",1087
"74","1999",264
"75","2000",190
"76","2001",43
"77","2002",8
"78","2004",6
"79","2016",7
